freq1_Z1,freq2_Z1,freq3_Z1,freq4_Z1,freq5_Z1,freq6_Z1,freq7_Z1,freq8_Z1,freq9_Z1,freq10_Z1,freq11_Z1,freq12_Z1,freq13_Z1,freq14_Z1,freq15_Z1,freq16_Z1,freq17_Z1,freq18_Z1,freq19_Z1,freq20_Z1,freq21_Z1,freq22_Z1,freq23_Z1,freq24_Z1,freq25_Z1,freq26_Z1,freq27_Z1,freq28_Z1,freq29_Z1,freq30_Z1,freq31_Z1,freq32_Z1,freq33_Z1,freq34_Z1,freq35_Z1,freq36_Z1,freq37_Z1,freq38_Z1,freq39_Z1,freq40_Z1,freq41_Z1,freq42_Z1,freq43_Z1,freq44_Z1,freq45_Z1,freq46_Z1,freq47_Z1,freq48_Z1,freq49_Z1,freq50_Z1,freq51_Z1,freq52_Z1,freq53_Z1,freq54_Z1,freq55_Z1,freq56_Z1,freq57_Z1,freq58_Z1,freq59_Z1,freq60_Z1,freq61_Z1,freq62_Z1,freq63_Z1,freq64_Z1,freq65_Z1,freq66_Z1,freq67_Z1,freq68_Z1,freq69_Z1,freq70_Z1,freq71_Z1,freq72_Z1,freq73_Z1,freq1_Z2,freq2_Z2,freq3_Z2,freq4_Z2,freq5_Z2,freq6_Z2,freq7_Z2,freq8_Z2,freq9_Z2,freq10_Z2,freq11_Z2,freq12_Z2,freq13_Z2,freq14_Z2,freq15_Z2,freq16_Z2,freq17_Z2,freq18_Z2,freq19_Z2,freq20_Z2,freq21_Z2,freq22_Z2,freq23_Z2,freq24_Z2,freq25_Z2,freq26_Z2,freq27_Z2,freq28_Z2,freq29_Z2,freq30_Z2,freq31_Z2,freq32_Z2,freq33_Z2,freq34_Z2,freq35_Z2,freq36_Z2,freq37_Z2,freq38_Z2,freq39_Z2,freq40_Z2,freq41_Z2,freq42_Z2,freq43_Z2,freq44_Z2,freq45_Z2,freq46_Z2,freq47_Z2,freq48_Z2,freq49_Z2,freq50_Z2,freq51_Z2,freq52_Z2,freq53_Z2,freq54_Z2,freq55_Z2,freq56_Z2,freq57_Z2,freq58_Z2,freq59_Z2,freq60_Z2,freq61_Z2,freq62_Z2,freq63_Z2,freq64_Z2,freq65_Z2,freq66_Z2,freq67_Z2,freq68_Z2,freq69_Z2,freq70_Z2,freq71_Z2,freq72_Z2,freq73_Z2,C (log-CFU/100ml),sensor ID,RCT,CF
276.98,282.24,284.99,290.07,295.9,299.05,303.1,305.77,309.22,312.51,314.96,318.93,321.03,323.28,325.88,330,333.26,338.13,342.41,347.35,352.69,356.97,363.09,369.6,375.59,380.33,385.8,391.19,396.67,401.19,406.77,412.05,415.69,421.39,426.95,430.71,439.02,445.37,452.12,459.26,467.74,472.99,481.64,494.16,506.64,511.23,526.57,537.2,551.71,569.05,582.14,608.18,622.65,647.98,674.54,697.01,727.34,757.8,791.82,826.23,863.78,908.09,954.15,1004.74,1059.46,1119.83,1183.23,1252.11,1327.41,1405.09,1492.82,1586.48,1689.11,61.39,62.18,58.7,52.75,53.15,49.33,47.29,45.85,44.37,42.98,42.63,42.6,43.21,46.71,47.26,47.82,49.75,50.09,51.35,52.95,52.82,54.76,56.37,54.17,54.43,55.8,56.24,57.08,57.45,58.7,58.14,60.45,62.67,65.09,68.09,70.95,74.78,79.11,84.06,89.3,95.24,100.84,108.28,116.96,126.06,134.82,145.92,156.34,170.1,184.21,199.59,218.04,235.02,257.01,280.41,303.51,330.96,359.38,393.28,425.7,463.44,504.94,550.28,598.82,651.88,709.44,768.54,837.93,909.64,986.03,1074.42,1163.15,1266.81,0,1,110.31,579.41
301.33,307.06,310.04,315.57,321.92,325.34,329.75,332.65,336.4,339.99,342.65,346.97,349.25,351.7,354.53,359.02,362.56,367.86,372.51,377.89,383.69,388.35,395.01,402.09,408.61,413.77,419.71,425.58,431.55,436.46,442.52,448.28,452.24,458.43,464.49,468.57,477.62,484.52,491.86,499.63,508.86,514.57,523.98,537.61,551.18,556.18,572.86,584.42,600.21,619.08,633.32,661.65,677.39,704.95,733.84,758.28,791.28,824.42,861.43,898.86,939.72,987.93,1038.04,1093.07,1152.6,1218.27,1287.25,1362.19,1444.11,1528.61,1624.06,1725.95,1837.6,66.79,67.64,63.86,57.39,57.83,53.66,51.45,49.89,48.27,46.75,46.38,46.34,47.01,50.82,51.41,52.02,54.13,54.49,55.86,57.6,57.46,59.57,61.33,58.94,59.22,60.71,61.18,62.09,62.5,63.86,63.25,65.76,68.18,70.82,74.07,77.19,81.35,86.07,91.45,97.15,103.61,109.71,117.8,127.25,137.14,146.67,158.75,170.09,185.06,200.41,217.14,237.21,255.68,279.6,305.06,330.2,360.05,390.98,427.86,463.12,504.18,549.33,598.66,651.46,709.19,771.81,836.1,911.6,989.61,1072.72,1168.88,1265.41,1378.18,0,2,89.98,626.46
246.54,251.23,253.67,258.2,263.39,266.19,269.79,272.17,275.24,278.17,280.35,283.88,285.75,287.75,290.07,293.74,296.64,300.98,304.79,309.18,313.93,317.74,323.19,328.99,334.32,338.54,343.4,348.2,353.08,357.1,362.07,366.77,370.01,375.08,380.04,383.38,390.78,396.42,402.43,408.79,416.34,421.01,428.71,439.86,450.96,455.05,468.7,478.17,491.08,506.52,518.17,541.35,554.23,576.78,600.42,620.41,647.42,674.53,704.81,735.44,768.86,808.31,849.3,894.33,943.04,996.77,1053.21,1114.52,1181.55,1250.68,1328.77,1412.14,1503.49,54.65,55.35,52.25,46.95,47.31,43.91,42.1,40.82,39.49,38.25,37.95,37.92,38.46,41.58,42.07,42.56,44.29,44.59,45.71,47.13,47.02,48.74,50.18,48.22,48.45,49.67,50.06,50.8,51.14,52.25,51.75,53.81,55.79,57.94,60.6,63.15,66.56,70.42,74.82,79.49,84.77,89.76,96.38,104.11,112.21,120,129.89,139.16,151.41,163.97,177.66,194.08,209.19,228.77,249.6,270.16,294.59,319.89,350.07,378.92,412.51,449.46,489.81,533.01,580.25,631.48,684.08,745.85,809.69,877.68,956.35,1035.34,1127.6,0,3,149.75,485.37
302.7,308.45,311.45,317.01,323.38,326.82,331.25,334.16,337.93,341.53,344.21,348.54,350.84,353.3,356.14,360.65,364.2,369.53,374.21,379.6,385.44,390.12,396.81,403.92,410.46,415.65,421.62,427.51,433.51,438.44,444.54,450.31,454.29,460.52,466.6,470.7,479.79,486.72,494.1,501.91,511.18,516.91,526.36,540.05,553.68,558.71,575.46,587.08,602.94,621.89,636.2,664.66,680.46,708.15,737.18,761.73,794.88,828.17,865.35,902.95,943.99,992.42,1042.76,1098.04,1157.84,1223.81,1293.11,1368.38,1450.67,1535.56,1631.44,1733.8,1845.95,67.09,67.95,64.15,57.65,58.09,53.91,51.69,50.11,48.49,46.97,46.59,46.55,47.22,51.05,51.65,52.26,54.37,54.74,56.12,57.87,57.73,59.84,61.61,59.2,59.49,60.98,61.46,62.37,62.79,64.15,63.53,66.06,68.49,71.14,74.41,77.54,81.72,86.46,91.87,97.6,104.08,110.2,118.34,127.82,137.76,147.34,159.47,170.86,185.9,201.32,218.12,238.29,256.84,280.87,306.45,331.7,361.69,392.75,429.8,465.23,506.47,551.83,601.38,654.42,712.41,775.32,839.9,915.74,994.11,1077.6,1174.19,1271.16,1384.44,0,4,99.25,616.94
268.46,273.56,276.22,281.15,286.8,289.85,293.77,296.36,299.7,302.9,305.27,309.12,311.15,313.33,315.85,319.85,323,327.73,331.88,336.66,341.84,345.99,351.92,358.23,364.03,368.63,373.93,379.15,384.47,388.85,394.25,399.38,402.9,408.42,413.82,417.46,425.51,431.66,438.21,445.13,453.35,458.44,466.82,478.96,491.05,495.5,510.36,520.67,534.73,551.54,564.23,589.47,603.49,628.04,653.79,675.56,704.96,734.48,767.46,800.81,837.2,880.15,924.8,973.83,1026.87,1085.37,1146.83,1213.59,1286.57,1361.86,1446.89,1537.67,1637.14,59.5,60.26,56.9,51.13,51.52,47.81,45.84,44.44,43,41.65,41.32,41.29,41.88,45.27,45.8,46.35,48.22,48.55,49.77,51.32,51.2,53.07,54.64,52.51,52.76,54.08,54.51,55.32,55.69,56.9,56.35,58.59,60.75,63.09,65.99,68.77,72.48,76.68,81.48,86.56,92.31,97.74,104.95,113.36,122.18,130.67,141.43,151.53,164.87,178.55,193.45,211.33,227.79,249.1,271.79,294.18,320.77,348.32,381.18,412.6,449.18,489.41,533.35,580.39,631.82,687.61,744.89,812.15,881.66,955.7,1041.36,1127.37,1227.83,0,5,84.94,572.48
251.2,255.97,258.46,263.07,268.36,271.21,274.89,277.31,280.44,283.43,285.65,289.24,291.15,293.19,295.55,299.29,302.24,306.66,310.54,315.02,319.86,323.75,329.3,335.2,340.63,344.93,349.89,354.78,359.75,363.85,368.91,373.7,377,382.17,387.21,390.62,398.16,403.91,410.04,416.51,424.21,428.97,436.81,448.17,459.48,463.65,477.55,487.2,500.36,516.08,527.96,551.58,564.69,587.67,611.76,632.13,659.64,687.27,718.12,749.33,783.38,823.57,865.35,911.23,960.85,1015.6,1073.1,1135.57,1203.86,1274.31,1353.87,1438.82,1531.89,55.68,56.39,53.24,47.84,48.21,44.74,42.89,41.59,40.24,38.98,38.66,38.63,39.19,42.36,42.86,43.37,45.12,45.43,46.57,48.02,47.91,49.66,51.13,49.13,49.37,50.61,51,51.76,52.11,53.24,52.73,54.82,56.84,59.04,61.75,64.35,67.82,71.75,76.24,80.99,86.37,91.45,98.21,106.08,114.33,122.27,132.34,141.79,154.27,167.07,181.01,197.74,213.15,233.09,254.31,275.26,300.15,325.93,356.68,386.08,420.31,457.95,499.06,543.08,591.21,643.41,697.01,759.94,824.98,894.26,974.42,1054.89,1148.9,0,6,79.82,555.77
301.36,307.09,310.07,315.6,321.95,325.37,329.78,332.68,336.43,340.02,342.68,347,349.28,351.73,354.56,359.05,362.59,367.89,372.55,377.92,383.73,388.39,395.05,402.13,408.64,413.81,419.75,425.61,431.59,436.5,442.57,448.32,452.28,458.47,464.53,468.62,477.66,484.56,491.91,499.68,508.91,514.62,524.03,537.66,551.23,556.23,572.91,584.48,600.26,619.13,633.38,661.71,677.45,705.01,733.91,758.35,791.36,824.5,861.51,898.95,939.8,988.02,1038.13,1093.17,1152.71,1218.38,1287.37,1362.31,1444.24,1528.75,1624.2,1726.11,1837.77,66.8,67.65,63.87,57.39,57.83,53.67,51.46,49.89,48.27,46.76,46.38,46.35,47.02,50.82,51.42,52.03,54.13,54.5,55.87,57.61,57.47,59.58,61.33,58.94,59.23,60.71,61.19,62.1,62.51,63.87,63.25,65.77,68.19,70.82,74.08,77.19,81.36,86.08,91.46,97.16,103.62,109.72,117.81,127.26,137.15,146.68,158.77,170.1,185.07,200.43,217.16,237.23,255.7,279.63,305.09,330.23,360.08,391.01,427.9,463.16,504.23,549.38,598.71,651.52,709.25,771.88,836.18,911.68,989.7,1072.82,1168.98,1265.53,1378.3,0,7,109.17,609.13
298.6,304.27,307.23,312.71,319,322.39,326.75,329.63,333.35,336.9,339.54,343.82,346.08,348.51,351.31,355.76,359.27,364.52,369.13,374.46,380.21,384.83,391.43,398.44,404.9,410.02,415.91,421.72,427.63,432.5,438.51,444.21,448.14,454.27,460.27,464.32,473.28,480.12,487.4,495.1,504.25,509.9,519.23,532.73,546.18,551.13,567.66,579.12,594.76,613.46,627.57,655.65,671.24,698.55,727.18,751.4,784.11,816.94,853.61,890.71,931.19,978.96,1028.62,1083.16,1142.15,1207.22,1275.58,1349.83,1431.01,1514.74,1609.32,1710.29,1820.93,66.18,67.03,63.28,56.87,57.3,53.18,50.99,49.43,47.83,46.33,45.96,45.92,46.58,50.36,50.95,51.55,53.64,54,55.36,57.08,56.94,59.03,60.77,58.4,58.68,60.16,60.63,61.53,61.94,63.28,62.67,65.16,67.56,70.17,73.4,76.49,80.62,85.29,90.62,96.27,102.67,108.71,116.73,126.09,135.9,145.34,157.31,168.54,183.38,198.59,215.17,235.05,253.36,277.07,302.3,327.2,356.78,387.43,423.98,458.92,499.61,544.35,593.23,645.55,702.76,764.81,828.52,903.32,980.64,1062.99,1158.27,1253.93,1365.67,0,8,129.67,601.4
304.07,309.85,312.86,318.44,324.84,328.29,332.74,335.67,339.46,343.08,345.77,350.12,352.43,354.89,357.75,362.28,365.85,371.2,375.9,381.32,387.18,391.88,398.6,405.75,412.32,417.53,423.53,429.44,435.47,440.43,446.55,452.35,456.35,462.6,468.71,472.83,481.96,488.92,496.33,504.18,513.49,519.25,528.74,542.49,556.19,561.23,578.06,589.74,605.67,624.7,639.08,667.67,683.54,711.35,740.51,765.18,798.48,831.92,869.26,907.04,948.26,996.91,1047.47,1103.01,1163.08,1229.35,1298.96,1374.57,1457.24,1542.51,1638.82,1741.64,1854.31,67.4,68.26,64.44,57.91,58.35,54.15,51.92,50.34,48.71,47.18,46.8,46.76,47.44,51.28,51.88,52.5,54.62,54.99,56.37,58.13,57.99,60.11,61.89,59.47,59.76,61.26,61.74,62.66,63.07,64.44,63.82,66.36,68.8,71.46,74.74,77.89,82.09,86.85,92.28,98.04,104.55,110.7,118.87,128.4,138.39,148,160.2,171.63,186.74,202.23,219.11,239.36,258,282.15,307.84,333.2,363.32,394.53,431.75,467.33,508.77,554.33,604.1,657.38,715.64,778.83,843.7,919.88,998.61,1082.47,1179.5,1276.91,1390.71,0,9,119.05,593.72
254.76,259.6,262.13,266.8,272.17,275.06,278.79,281.24,284.41,287.44,289.7,293.34,295.28,297.34,299.74,303.53,306.53,311.01,314.94,319.49,324.4,328.33,333.97,339.95,345.46,349.82,354.85,359.81,364.85,369.01,374.14,379,382.35,387.58,392.7,396.16,403.8,409.64,415.85,422.42,430.22,435.05,443,454.52,466,470.22,484.32,494.1,507.45,523.4,535.44,559.4,572.7,596,620.43,641.09,669,697.01,728.3,759.95,794.49,835.25,877.61,924.14,974.47,1030,1088.32,1151.67,1220.93,1292.37,1373.07,1459.21,1553.61,56.47,57.19,54,48.52,48.89,45.37,43.5,42.18,40.81,39.53,39.21,39.18,39.75,42.97,43.47,43.98,45.76,46.07,47.23,48.7,48.58,50.36,51.85,49.83,50.07,51.33,51.73,52.5,52.84,53.99,53.47,55.6,57.65,59.87,62.62,65.26,68.78,72.77,77.32,82.14,87.6,92.75,99.6,107.58,115.95,124,134.22,143.8,156.46,169.44,183.58,200.55,216.17,236.39,257.92,279.17,304.41,330.55,361.74,391.55,426.26,464.44,506.14,550.78,599.59,652.53,706.89,770.71,836.67,906.94,988.23,1069.85,1165.19,0,10,109.64,565.5
